Source;Target;Year
ROCHA Cassio Bruno de Araujo;GREEN James;2021
RODRIGUES Rita de Cassia Colaco;GREEN James;2012
ROSSELLI Gabriela Brum;GREEN James;2018
SALDANHA Rafael Araujo;GREEN James;2010
SANTOS Fernanda Cassia dos;GREEN James;2012
SANTOS Helio Secretario dos;GREEN James;2013
SANTOS Paulo Henrique Souza dos;GREEN James;2022
SANTOS Rafael Franca Goncalves dos;GREEN James;2018
SANTOS Raian Souza;GREEN James;2020
SILVA Aline Nawara Cintra;GREEN James;2022
SILVA Claudio Roberto da;GREEN James;1998
SILVA Clodoaldo Oliveira;GREEN James;2021
SILVA Daniel Henrique de Oliveira;GREEN James;2016
SILVA Fabio Ronaldo da;GREEN James;2017
SILVA Fabio Ronaldo da;GREEN James;2010
SILVA Jaine Chianca da;GREEN James;2021
SILVA Laercio Theodoro da;GREEN James;2012
SILVA Natanael de Freitas;GREEN James;2017
SILVA Natanael de Freitas;GREEN James;2022
SILVA Naylla Oliveira da;GREEN James;2019
SILVA Redson dos Santos;GREEN James;2016
SILVA Sandro Coutinho da;GREEN James;2022
SILVA Sandro Jose da;GREEN James;2011
SILVA Tiago Vidal da;GREEN James;2022
SILVA Walber Ferreira da;GREEN James;2021
SOARES Anderson da Silva;GREEN James;2016
SOARES Bruno Cesar Brulon;GREEN James;2019
SOBRAL Thasio Fernandes;GREEN James;2019
SOUSA NETO Miguel Rodrigues de;GREEN James;2011
SOUSA NETO Miguel Rodrigues de;GREEN James;2005
SOUZA Mariana Barbosa;GREEN James;2022
SOUZA Paulo Vitor Guedes de;GREEN James;2022
TEDESCO Caio de Souza;GREEN James;2022
VASCONCELOS Osvaldo;GREEN James;2022
VERAS Elias Ferreira;GREEN James;2015
VIEIRA Kyara Maria de Almeida;GREEN James;2014
VITIELLO Gabriel Natal Botelho;GREEN James;2009
ZAQUIEU Ana Paula Vianna;GREEN James;2002
SILVA Aline Nawara Cintra;GREEN John ;2022
SILVA Claudielle Pavão da;GREEN John ;2016
ASSIS Eduardo Moreira;GREGORI Maria Filomena;2011
BELMONTE Pilar Rodriguez;GREGORI Maria Filomena;2009
DAVI Edmar Henrique D ;GREGORI Maria Filomena;2004
MEDEIROS Tiago Vidal;GREGORI Maria Filomena;2020
MEDEIROS Tiago Vidal;GREGORI Maria Filomena;2020
MELO Kelyel Fortes de Resende;GREGORI Maria Filomena;2020
NASCIMENTO Cicera Maria castro do;GREGORI Maria Filomena;2021
RODRIGUES Rita de Cassia Colaco;GREGORI Maria Filomena;2012
SANTOS Patricia Lessa dos;GREGORI Maria Filomena;2007
SILVA Fabio Ronaldo da;GREGORI Maria Filomena;2010
SILVA Gustavo Henrique Ramos;GREGORI Maria Filomena;2018
SOUZA Paulo Vitor Guedes de;GREGORI Maria Filomena;2022
VERAS Elias Ferreira;GREGORI Maria Filomena;2015
MARTINS Carla Cristina Siqueira;GREINER Christine ;2020
MELO Kelyel Fortes de Resende;GREINER Christine ;2020
SANTOS Fernanda Cassia dos;GRILLO José Geraldo Costa ;2012
SILVA Filipe Noe da;GRILLO José Geraldo Costa ;2016
CORDEIRO Luiz Henrique Bonifacio;GRIMAL Pierre ;2015
RIBEIRO JR Benedito Inacio;GRIMAL Pierre ;2016
SOUSA Luana Neres de;GRIMAL Pierre ;2008
SOUSA Luana Neres de;GRIMAL Pierre ;2013
DUARTE Daniel Vital Silva;GRINBERG Keila ;2015
NASCIMENTO Álvaro Pereira;GRINBERG Keila ;2002
SILVA Naylla Oliveira da;GRINBERG Keila ;2019
SILVA Claudio Roberto da;GROOTENDORST Sapê ;1998
VERAS Elias Ferreira;GROOTENDORST Sapê ;2015
PEREIRA Romulo Medeiros;GROS Frédéric ;2013
ROCHA Cassio Bruno de Araujo;GROS Frédéric ;2021
SILVA Natanael de Freitas;GROS Frédéric ;2017
SILVA Natanael de Freitas;GROS Frédéric ;2022
AFONSO Pablo Andrade;GROSFOGUEL Ramón ;2022
AGUIAR Juno Nedel Mendes de;GROSFOGUEL Ramón ;2020
MAIA Renata Santos;GROSFOGUEL Ramón ;2020
OLIVEIRA Rosana Medeiros de;GROSFOGUEL Ramón ;2011
SANTOS Rafael Franca Goncalves dos;GROSFOGUEL Ramón ;2018
SOUZA Mariana Barbosa;GROSFOGUEL Ramón ;2022
ROCHA Cassio Bruno de Araujo;GROSSBERG L ;2014
ROCHA Cassio Bruno de Araujo;GROSSBERG L ;2021
AFONSO Ana Paula Jardim Martins;GROSSI Miriam Pillar;2016
ASSUMPCAO Andreia dos S B M de;GROSSI Miriam Pillar;2012
AZEVEDO Ciro Linhares de;GROSSI Miriam Pillar;2015
AZEVEDO Rafaela Costa de;GROSSI Miriam Pillar;2020
BACH Luanna Fernanda da Cruz;GROSSI Miriam Pillar;2020
BARBOSA Camila Nadedja Teixeira;GROSSI Miriam Pillar;2019
BRANDÃO Renata Rodrigues ;GROSSI Miriam Pillar;2015
BRITO Alexandre Magno Maciel Costa e;GROSSI Miriam Pillar;2016
CAVALCANTE Lais Medeiros;GROSSI Miriam Pillar;2014
DUARTE Daniel Vital Silva;GROSSI Miriam Pillar;2015
GOMES Mauricio Pereira;GROSSI Miriam Pillar;2014
KIBUUKA Brian Gordon Lutalo;GROSSI Miriam Pillar;2021
LIMA Michele Pires;GROSSI Miriam Pillar;2021
LINS Rivelynno da Costa;GROSSI Miriam Pillar;2017
MACAO Izabel Rizzi;GROSSI Miriam Pillar;2022
MARANHAO Du Flor Meinberg;GROSSI Miriam Pillar;2015
NASCIMENTO Cicera Maria castro do;GROSSI Miriam Pillar;2021
NOGUEIRA Joanna Ribeiro;GROSSI Miriam Pillar;2016
QUEIROZ Igor Henrique Lopes de;GROSSI Miriam Pillar;2014
ROCHA Cassio Bruno de Araujo;GROSSI Miriam Pillar;2014
ROCHA Cassio Bruno de Araujo;GROSSI Miriam Pillar;2021
RODRIGUES Rita de Cassia Colaco;GROSSI Miriam Pillar;2012
SALDANHA Rafael Araujo;GROSSI Miriam Pillar;2010
SELEM Maria Celia Orlato;GROSSI Miriam Pillar;2007
SILVA Aline Nawara Cintra;GROSSI Miriam Pillar;2022
SILVA Jaine Chianca da;GROSSI Miriam Pillar;2021
SILVA Jefferson Luiz Balbino Lourenço da;GROSSI Miriam Pillar;2019
SILVA Lauri Miranda;GROSSI Miriam Pillar;2015
SILVA Natanael de Freitas;GROSSI Miriam Pillar;2017
SILVA Natanael de Freitas;GROSSI Miriam Pillar;2022
SOUSA NETO Miguel Rodrigues de;GROSSI Miriam Pillar;2011
SOUZA Mariana Barbosa;GROSSI Miriam Pillar;2022
VASCONCELOS Osvaldo;GROSSI Miriam Pillar;2022
VIANA JR Mario Martins;GROSSI Miriam Pillar;2013
CUEVAS Clara Eliana;GRUNER Clóvis ;2015
MALINSKI Andre Americano;GRUNER Clóvis ;2019
SANTOS Fernanda Cassia dos;GRUNER Clóvis ;2012
MARANHAO Du Flor Meinberg;GRUNVALD Vitor;2015
SILVA Laercio Theodoro da;GRUNVALD Vitor;2012
GOMES Veronica de Jesus;GRUZINSKI Serge;2010
HENRIQUES Adolfo Veiller Souza;GRUZINSKI Serge;2021
LIMA Wallas Jefferson de;GRUZINSKI Serge;2021
MOTA Frederico Alves;GRUZINSKI Serge;2013
PINTO Matheus Rodrigues;GRUZINSKI Serge;2015
ROCHA Cassio Bruno de Araujo;GRUZINSKI Serge;2014
ROCHA Cassio Bruno de Araujo;GRUZINSKI Serge;2021
SILVA Natanael de Freitas;GRUZINSKI Serge;2022
AZEVEDO Rafaela Costa de;GUARESCHI Pedrinho;2020
BANDEIRA Marcio Leopoldo Gomes;GUARESCHI Pedrinho;2006
MOTA Frederico Alves;GUARESCHI Pedrinho;2013
NASCIMENTO Dilene Raimundo;GUARESCHI Pedrinho;1999
SELEM Maria Celia Orlato;GUARESCHI Pedrinho;2007
GODOY Fabricio Sparvoli;GUARINELLO N L ;2022
PINTO Renato;GUARINELLO N L ;2011
SOUZA Mariana Barbosa;GUARINELLO N L ;2022
JESUS Cassiano Celestino;GUASCH Oscar ;2020
LIMA Michele Pires;GUASCH Oscar ;2021
MAIOR JR Paulo Roberto Souto;GUASCH Oscar ;2019
VERAS Elias Ferreira;GUASCH Oscar ;2015
AZEVEDO Ciro Linhares de;GUATTARI Felix ;2015
BANDEIRA Marcio Leopoldo Gomes;GUATTARI Felix ;2006
BRANDÃO Renata Rodrigues ;GUATTARI Felix ;2015
CARNEIRO Aílton José dos Santos;GUATTARI Felix ;2017
CUEVAS Clara Eliana;GUATTARI Felix ;2015
GOMES Elisa Mariana de Medeiros Nobrega;GUATTARI Felix ;2007
GOMES JR João;GUATTARI Felix ;2019
GUIMARAES Celeste Azenha;GUATTARI Felix ;1994
HIRATA Gabriel Tadashi;GUATTARI Felix ;2017
LORENZONI Andre Luis;GUATTARI Felix ;2014
MACAO Izabel Rizzi;GUATTARI Felix ;2022
MACHADO José Wellington de Oliveira Machado;GUATTARI Felix ;2021
MAIOR JR Paulo Roberto Souto;GUATTARI Felix ;2015
MAIOR JR Paulo Roberto Souto;GUATTARI Felix ;2019
MARTINS Carla Cristina Siqueira;GUATTARI Felix ;2020
MELO Kelyel Fortes de Resende;GUATTARI Felix ;2020
NICOLAU Marcio Almeida;GUATTARI Felix ;2019
NOGUEIRA Joanna Ribeiro;GUATTARI Felix ;2016
NOGUEIRA Nadia Cristina;GUATTARI Felix ;2005
NUNES Kauan Amora;GUATTARI Felix ;2019
OLIVEIRA Rosana Medeiros de;GUATTARI Felix ;2011
PEREIRA Romulo Medeiros;GUATTARI Felix ;2013
ROCHA Cassio Bruno de Araujo;GUATTARI Felix ;2021
SALDANHA Rafael Araujo;GUATTARI Felix ;2010
SANTOS Patricia Lessa dos;GUATTARI Felix ;2007
SANTOS Rafael Franca Goncalves dos;GUATTARI Felix ;2018
SANTOS Raian Souza;GUATTARI Felix ;2020
SELEM Maria Celia Orlato;GUATTARI Felix ;2007
SILVA Adjefferson Vieira Alves da;GUATTARI Felix ;2014
SILVA Claudio Roberto da;GUATTARI Felix ;1998
SILVA Fabio Ronaldo da;GUATTARI Felix ;2017
SILVA Gustavo Henrique Ramos;GUATTARI Felix ;2018
SILVA Jaine Chianca da;GUATTARI Felix ;2021
SILVA Natanael de Freitas;GUATTARI Felix ;2022
SILVA Sandro Jose da;GUATTARI Felix ;2011
SILVEIRA NETO Adilio Luiz da;GUATTARI Felix ;2014
SOARES Anderson da Silva;GUATTARI Felix ;2016
VERAS Elias Ferreira;GUATTARI Felix ;2015
VIANA JR Mario Martins;GUATTARI Felix ;2013
VIEIRA Kyara Maria de Almeida;GUATTARI Felix ;2014
SOLEDADE Alisson Cruz;GUEDES M ;2022
SOUZA Mariana Barbosa;GUEDES M ;2022
GOMES Elisa Mariana de Medeiros Nobrega;GUERIN Daniel ;2007
SILVA Claudio Roberto da;GUERIN Daniel ;1998
RIBAS Jorge Luiz Teixeira;GUEVARA Ernesto ;2018
SOUSA NETO Miguel Rodrigues de;GUEVARA Ernesto ;2005
CARDOSO Guilherme da Silva;GUIBERT Hervé;2022
CARDOSO Guilherme da Silva;GUIBERT Hervé;2022
HENRIQUES Adolfo Veiller Souza;GUIBERT Hervé;2021
NASCIMENTO Dilene Raimundo;GUIBERT Hervé;1999
VIANNA Eliza da Silva;GUIBERT Hervé;2014
GONCALVES Alisson;GUIMARÃES Agildo B ;2022
RODRIGUES Rita de Cassia Colaco;GUIMARÃES Agildo B ;2012
DAVI Edmar Henrique D ;GUIMARÃES C Z ;2004
SOUZA Mariana Barbosa;GUIMARÃES C Z ;2022
ASSIS Eduardo Moreira;GUIMARÃES Carmen Dora ;2011
AZEVEDO Ciro Linhares de;GUIMARÃES Carmen Dora ;2015
COSTA Gerferson Damasceno;GUIMARÃES Carmen Dora ;2018
COSTA Rogério da Silva Martins da ;GUIMARÃES Carmen Dora ;2010
GOMES Elisa Mariana de Medeiros Nobrega;GUIMARÃES Carmen Dora ;2007
MAIOR JR Paulo Roberto Souto;GUIMARÃES Carmen Dora ;2015
MAIOR JR Paulo Roberto Souto;GUIMARÃES Carmen Dora ;2019
MARTINELLI Leonardo da Silva;GUIMARÃES Carmen Dora ;2019
PINTO Rhanielly Pereira do Nascimento;GUIMARÃES Carmen Dora ;2021
ROCHA Cassio Bruno de Araujo;GUIMARÃES Carmen Dora ;2021
RODRIGUES Rita de Cassia Colaco;GUIMARÃES Carmen Dora ;2012
ROSSELLI Gabriela Brum;GUIMARÃES Carmen Dora ;2018
SANTOS Rafael Franca Goncalves dos;GUIMARÃES Carmen Dora ;2018
SILVA Fabio Ronaldo da;GUIMARÃES Carmen Dora ;2010
SILVA Fabio Ronaldo da;GUIMARÃES Carmen Dora ;2017
SILVA Sandro Jose da;GUIMARÃES Carmen Dora ;2011
VASCONCELOS Osvaldo;GUIMARÃES Carmen Dora ;2022
ZAQUIEU Ana Paula Vianna;GUIMARÃES Carmen Dora ;2002
MAIOR JR Paulo Roberto Souto;GUIMARÃES Luciano ;2019
SILVA Fabio Ronaldo da;GUIMARÃES Luciano ;2010
NICOLAU Marcio Almeida;GUIMARÃES Manoel Luiz Salgado;2019
SOUZA Paulo Vitor Guedes de;GUIMARÃES Manoel Luiz Salgado;2022
AMORIM Graziele Regina de;GUMBRECHT Hans Ulrich ;2015
CARDOSO Guilherme da Silva;GUMBRECHT Hans Ulrich ;2022
BATISTA Ana Cecilia Pereira;HABERMAS Jürgen ;2021
SILVA Claudio Roberto da;HABERMAS Jürgen ;1998
CANABARRO Ronald;HABERT Nadine ;2015
NOBREGA Isabela Silva;HABERT Nadine ;2015
SILVA Sandro Jose da;HABERT Nadine ;2011
CORDEIRO Luiz Henrique Bonifacio;HAESBAERT Rogério ;2015
SILVA Sandro Jose da;HAESBAERT Rogério ;2011
MAIA Renata Santos;HAGEMEYER Rafael Rosa ;2020
SILVA Josean Ricardo de Souza e;HAGEMEYER Rafael Rosa ;2018
PAZ Thaís Terezinha;HAIDER Asad ;2021
SILVA Natanael de Freitas;HAIDER Asad ;2022
AGUIAR Juno Nedel Mendes de;HALBERSTAM Jack;2020
AZEVEDO Rafaela Costa de;HALBERSTAM Jack;2020
KUMPERA Julia Aleksandra Martucci;HALBERSTAM Jack;2021
MARANHAO Du Flor Meinberg;HALBERSTAM Jack;2015
SANTOS Rafael Franca Goncalves dos;HALBERSTAM Jack;2018
SILVA Natanael de Freitas;HALBERSTAM Jack;2022
TEDESCO Caio de Souza;HALBERSTAM Jack;2022
ARAÚJO João Diogo Trindade Cordeiro ;HALBWACHS Maurice;2018
CORDEIRO Luiz Henrique Bonifacio;HALBWACHS Maurice;2015
GIMENEZ Mariana Quadros;HALBWACHS Maurice;2015
GONCALVES Mateus Henrique Siqueira;HALBWACHS Maurice;2022
KUMPERA Julia Aleksandra Martucci;HALBWACHS Maurice;2021
MEDEIROS Tiago Vidal;HALBWACHS Maurice;2020
NOBREGA Isabela Silva;HALBWACHS Maurice;2015
PEREIRA Romulo Medeiros;HALBWACHS Maurice;2013
SANTOS Raian Souza;HALBWACHS Maurice;2020
SILVA Jefferson Luiz Balbino Lourenço da;HALBWACHS Maurice;2019
SILVA Sandro Jose da;HALBWACHS Maurice;2011
SILVEIRA NETO Adilio Luiz da;HALBWACHS Maurice;2014
SOARES Bruno Cesar Brulon;HALBWACHS Maurice;2019
SOUSA Luana Neres de;HALBWACHS Maurice;2013
SOUSA Luana Neres de;HALBWACHS Maurice;2013
SOUSA Luana Neres de;HALBWACHS Maurice;2008
SOUSA NETO Miguel Rodrigues de;HALBWACHS Maurice;2005
VASCONCELOS Osvaldo;HALBWACHS Maurice;2022
VIEIRA Adriana Fraga;HALBWACHS Maurice;2020
AFONSO Ana Paula Jardim Martins;HALL Stuart;2016
AGUIAR Juno Nedel Mendes de;HALL Stuart;2020
ARAÚJO João Diogo Trindade Cordeiro ;HALL Stuart;2018
ARAÚJO JR José Carlos;HALL Stuart;2006
ASSUMPCAO Andreia dos S B M de;HALL Stuart;2012
AZEVEDO Ciro Linhares de;HALL Stuart;2015
AZEVEDO Rafaela Costa de;HALL Stuart;2020
BACH Luanna Fernanda da Cruz;HALL Stuart;2020
BARBOSA Camila Nadedja Teixeira;HALL Stuart;2019
BORTOLON Flavia ;HALL Stuart;2020
BRANDÃO Renata Rodrigues ;HALL Stuart;2015
CANABARRO Ronald;HALL Stuart;2015
CARNEIRO Aílton José dos Santos;HALL Stuart;2017
CAVALCANTE Lais Medeiros;HALL Stuart;2014
COSTA Geovane Batista da;HALL Stuart;2019
COSTA Gerferson Damasceno;HALL Stuart;2018
COSTA Rogério da Silva Martins da ;HALL Stuart;2010
DEPIERI Caroline Stefany;HALL Stuart;2013
FLAUAUS Vinicius Melo;HALL Stuart;2018
GALLINA Justina Franchi;HALL Stuart;2008
GIMENEZ Mariana Quadros;HALL Stuart;2015
GOMES Elisa Mariana de Medeiros Nobrega;HALL Stuart;2007
GOMES JR João;HALL Stuart;2019
LEITE Letticia Batista Rodrigues;HALL Stuart;2009
LIMA Ana Claudia Teixeira de;HALL Stuart;2019
LINS Rivelynno da Costa;HALL Stuart;2017
LORENZONI Andre Luis;HALL Stuart;2014
MAIA Renata Santos;HALL Stuart;2020
MARANHAO Du Flor Meinberg;HALL Stuart;2015
MARTINELLI Leonardo da Silva;HALL Stuart;2019
MARTINS Carla Cristina Siqueira;HALL Stuart;2020
MEDEIROS Talita Goncalves;HALL Stuart;2015
MOTA Frederico Alves;HALL Stuart;2013
MUNIN Pietra Mello;HALL Stuart;2018
NOBREGA Isabela Silva;HALL Stuart;2015
NOGUEIRA Joanna Ribeiro;HALL Stuart;2016
PEREIRA Cristiane dos Santos;HALL Stuart;2010
PEREIRA Joao Lenon Siqueira;HALL Stuart;2020
PEREIRA Ronielyssom Cezar Souza;HALL Stuart;2017
PEREIRA Veronica Figueiredo;HALL Stuart;2022
PINTO Renato;HALL Stuart;2011
PINTO Rhanielly Pereira do Nascimento;HALL Stuart;2021
REIS Gabbiana Clamer Fonseca Falavigna dos;HALL Stuart;2022
RIBAS Jorge Luiz Teixeira;HALL Stuart;2018
ROCHA Cassio Bruno de Araujo;HALL Stuart;2014
ROCHA Cassio Bruno de Araujo;HALL Stuart;2021
ROSSELLI Gabriela Brum;HALL Stuart;2018
SALDANHA Rafael Araujo;HALL Stuart;2010
SANTOS Daniel Barbosa dos;HALL Stuart;2009
SANTOS Patricia Lessa dos;HALL Stuart;2007
SANTOS Raian Souza;HALL Stuart;2020
SELEM Maria Celia Orlato;HALL Stuart;2007
SILVA Adjefferson Vieira Alves da;HALL Stuart;2014
SILVA Daniel Henrique de Oliveira;HALL Stuart;2016
SILVA Fabio Ronaldo da;HALL Stuart;2010
SILVA Filipe Noe da;HALL Stuart;2016
SILVA Gustavo Henrique Ramos;HALL Stuart;2018
SILVA Jaine Chianca da;HALL Stuart;2021
SILVA Josean Ricardo de Souza e;HALL Stuart;2018
SILVA Laercio Theodoro da;HALL Stuart;2012
SILVA Lauri Miranda;HALL Stuart;2015
SILVA Natanael de Freitas;HALL Stuart;2017
SILVA Rafaella de Sousa;HALL Stuart;2014
SILVA Tiago Vidal da;HALL Stuart;2022
SOARES Bruno Cesar Brulon;HALL Stuart;2019
SOUSA Luana Neres de;HALL Stuart;2008
SOUSA Luana Neres de;HALL Stuart;2013
TAVOLARO José Eduardo Matos;HALL Stuart;2020
TEDESCO Caio de Souza;HALL Stuart;2022
TROVAO Flavio Vilas-Boas;HALL Stuart;2010
VIANA JR Mario Martins;HALL Stuart;2013
VIANNA Eliza da Silva;HALL Stuart;2014
VIEIRA Adriana Fraga;HALL Stuart;2020
SOUSA Luana Neres de;HALLETT Judith P ;2008
SOUSA Luana Neres de;HALLETT Judith P ;2013
ASSIS Eduardo Moreira;HALPERIN David M;2011
BRANDÃO Renata Rodrigues ;HALPERIN David M;2015
CORDEIRO Luiz Henrique Bonifacio;HALPERIN David M;2015
CUEVAS Clara Eliana;HALPERIN David M;2015
GOMES Mauricio Pereira;HALPERIN David M;2014
JESUS Cassiano Celestino;HALPERIN David M;2020
KIBUUKA Brian Gordon Lutalo;HALPERIN David M;2021
KUMPERA Julia Aleksandra Martucci;HALPERIN David M;2021
LIMA Wallas Jefferson de;HALPERIN David M;2021
MAIOR JR Paulo Roberto Souto;HALPERIN David M;2015
MAIOR JR Paulo Roberto Souto;HALPERIN David M;2019
PINTO Renato;HALPERIN David M;2011
REIS Rachel Correia Lima;HALPERIN David M;2002
ROCHA Cassio Bruno de Araujo;HALPERIN David M;2014
ROCHA Cassio Bruno de Araujo;HALPERIN David M;2021
ROMERO Sheila R;HALPERIN David M;2008
SANTOS Daniel Barbosa dos;HALPERIN David M;2003
SANTOS Daniel Barbosa dos;HALPERIN David M;2009
SILVA Claudio Roberto da;HALPERIN David M;1998
SOARES Bruno Cesar Brulon;HALPERIN David M;2019
SOUSA Luana Neres de;HALPERIN David M;2013
SOUZA Mariana Barbosa;HALPERIN David M;2022
AMORIM Graziele Regina de;HAMBURGER Esther;2015
MAIOR JR Paulo Roberto Souto;HAMBURGER Esther;2019
SILVA Jefferson Luiz Balbino Lourenço da;HAMBURGER Esther;2019
AFONSO Ana Paula Jardim Martins;HARAWAY Donna;2016
AGUIAR Juno Nedel Mendes de;HARAWAY Donna;2020
BANDEIRA Marcio Leopoldo Gomes;HARAWAY Donna;2006
BRANDÃO Renata Rodrigues ;HARAWAY Donna;2015
CANABARRO Ronald;HARAWAY Donna;2015
FREITAS JR Renilson Pereira de;HARAWAY Donna;2022
GODOY Fabricio Sparvoli;HARAWAY Donna;2022
MACAO Izabel Rizzi;HARAWAY Donna;2022
MAIA Renata Santos;HARAWAY Donna;2020
MARANHAO Du Flor Meinberg;HARAWAY Donna;2015
MARTINS Carla Cristina Siqueira;HARAWAY Donna;2020
MEDEIROS Lucas;HARAWAY Donna;2022
MEDEIROS Tiago Vidal;HARAWAY Donna;2020
MELO Kelyel Fortes de Resende;HARAWAY Donna;2020
NOGUEIRA Nadia Cristina;HARAWAY Donna;2005
OLIVEIRA Augusta da Silveira de;HARAWAY Donna;2018
OLIVEIRA Rosana Medeiros de;HARAWAY Donna;2011
QUEIROZ Igor Henrique Lopes de;HARAWAY Donna;2014
ROCHA Cassio Bruno de Araujo;HARAWAY Donna;2021
SANTOS Patricia Lessa dos;HARAWAY Donna;2007
SANTOS Rafael Franca Goncalves dos;HARAWAY Donna;2018
SELEM Maria Celia Orlato;HARAWAY Donna;2007
SILVA Natanael de Freitas;HARAWAY Donna;2017
SILVA Natanael de Freitas;HARAWAY Donna;2022
SOUZA Mariana Barbosa;HARAWAY Donna;2022
TEDESCO Caio de Souza;HARAWAY Donna;2022
VASCONCELOS Osvaldo;HARAWAY Donna;2022
VIANA JR Mario Martins;HARAWAY Donna;2013
MARANHAO Du Flor Meinberg;HARDING Sandra;2015
SELEM Maria Celia Orlato;HARDING Sandra;2007
NASCIMENTO Álvaro Pereira;HARDMAN Francisco Foot ;2002
PEREIRA Romulo Medeiros;HARDMAN Francisco Foot ;2013
DALLASTA Rodrigo Bonatto;HARLAN David ;2021
RIBEIRO JR Benedito Inacio;HARLAN David ;2016
NOGUEIRA Nadia Cristina;HART John;2005
SILVA Fabio Ronaldo da;HART John;2017
AGUIAR Juno Nedel Mendes de;HARTOG François ;2020
AMORIM Graziele Regina de;HARTOG François ;2015
CARDOSO Guilherme da Silva;HARTOG François ;2022
CORDEIRO Luiz Henrique Bonifacio;HARTOG François ;2015
NOGUEIRA Joanna Ribeiro;HARTOG François ;2016
ROCHA Cassio Bruno de Araujo;HARTOG François ;2021
SANTOS Leonardo Stabele;HARTOG François ;2022
SILVA Clodoaldo Oliveira;HARTOG François ;2021
SILVA Filipe Noe da;HARTOG François ;2016
SILVA Natanael de Freitas;HARTOG François ;2022
SILVA Rafaella de Sousa;HARTOG François ;2014
SOARES Bruno Cesar Brulon;HARTOG François ;2019
VERAS Elias Ferreira;HARTOG François ;2015
CARNEIRO Aílton José dos Santos;HARVEY David;2017
NASCIMENTO Dilene Raimundo;HARVEY David;1999
RODRIGUES Rita de Cassia Colaco;HARVEY David;2012
SOUSA NETO Miguel Rodrigues de;HARVEY David;2011
VIANA JR Mario Martins;HARVEY David;2013
GOMES Elisa Mariana de Medeiros Nobrega;HAYWARD Nancy ;2007
MAIOR JR Paulo Roberto Souto;HAYWARD Nancy ;2019
ANDRADE Marciano Vieira;HEEREN José Augusto;2015
COSTA Geovane Batista da;HEEREN José Augusto;2019
ASSUMPCAO Andreia dos S B M de;HEILBORN Maria Luiza;2012
BARBOSA Camila Nadedja Teixeira;HEILBORN Maria Luiza;2019
BELMONTE Pilar Rodriguez;HEILBORN Maria Luiza;2009
BRITO Alexandre Magno Maciel Costa e;HEILBORN Maria Luiza;2016
CASTRO Alana Albuquerque de;HEILBORN Maria Luiza;2022
COSTA Rogério da Silva Martins da ;HEILBORN Maria Luiza;2010
KUMPERA Julia Aleksandra Martucci;HEILBORN Maria Luiza;2021
LOPES Fernando Jose;HEILBORN Maria Luiza;2019
MAIOR JR Paulo Roberto Souto;HEILBORN Maria Luiza;2019
MELO Kelyel Fortes de Resende;HEILBORN Maria Luiza;2020
NOGUEIRA Nadia Cristina;HEILBORN Maria Luiza;2005
RAMOS Jeferson;HEILBORN Maria Luiza;2019
ROCHA Cassio Bruno de Araujo;HEILBORN Maria Luiza;2014
ROCHA Cassio Bruno de Araujo;HEILBORN Maria Luiza;2021
RODRIGUES Rita de Cassia Colaco;HEILBORN Maria Luiza;2012
SANTOS Fernanda Cassia dos;HEILBORN Maria Luiza;2012
SILVA Clodoaldo Oliveira;HEILBORN Maria Luiza;2021
SILVA Sandro Jose da;HEILBORN Maria Luiza;2011
SOUSA NETO Miguel Rodrigues de;HEILBORN Maria Luiza;2011
TOLEDO Eliza Teixeira de;HEILBORN Maria Luiza;2015
ZAQUIEU Ana Paula Vianna;HEILBORN Maria Luiza;2002
BELMONTE Pilar Rodriguez;HEKMA Gert ;2009
BRANDÃO Renata Rodrigues ;HEKMA Gert ;2015
LIMA Wallas Jefferson de;HEKMA Gert ;2021
RIBEIRO JR Benedito Inacio;HEKMA Gert ;2016
SANTOS Daniel Barbosa dos;HEKMA Gert ;2009
BARATA Germana Fernandes;HELLER Agnes ;2006
BRANDÃO Renata Rodrigues ;HELLER Agnes ;2015
BRITO Alexandre Magno Maciel Costa e;HELLER Agnes ;2016
NASCIMENTO Cicera Maria castro do;HELLER Agnes ;2021
LORENZONI Andre Luis;HELMINIAK Daniel A ;2014
PINTO Matheus Rodrigues;HELMINIAK Daniel A ;2015
SOUSA NETO Miguel Rodrigues de;HELMINIAK Daniel A ;2005
AGUIAR Juno Nedel Mendes de;HENNING Carlos Eduardo ;2020
GOMES Mauricio Pereira;HENNING Carlos Eduardo ;2014
SILVA Natanael de Freitas;HENNING Carlos Eduardo ;2022
GOMES Veronica de Jesus;HERCULANO Alexandre ;2010
LIMA Wallas Jefferson de;HERCULANO Alexandre ;2014
SANTOS Daniel Barbosa dos;HÉRITIER Françoise ;2003
SILVA Aline Nawara Cintra;HÉRITIER Françoise ;2022
OLIVEIRA JR Alcidesio de;HERMAN Arthur ;2012
SANTOS Fernanda Cassia dos;HERMAN Arthur ;2012
GOMES Veronica de Jesus;HERMANN Jacqueline ;2019
VIANA JR Mario Martins;HERMANN Jacqueline ;2013
FERRAZ Maria Cruz;HERMETO Miriam ;2021
LIMA Michele Pires;HERMETO Miriam ;2021
SILVA Natanael de Freitas;HERMETO Miriam ;2017
SILVA Natanael de Freitas;HERMETO Miriam ;2022
BELMONTE Pilar Rodriguez;HERSCHMANN Micael M ;2009
MARIUSSO Victor Hugo da Silva Gomes;HERSCHMANN Micael M ;2015
MEDEIROS Tiago Vidal;HERSCHMANN Micael M ;2020
